Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines
7700495,The Butchershop Bar & Grill,Glasgow,Glasgow,67,4.1,"Grill, Steak, Scottish, British"
7700694,Ubiquitous Chip,Glasgow,Glasgow,113,4.1,"Scottish, British"
7700834,Stravaigin,Glasgow,Glasgow,104,4.3,Scottish
7700300,Jamie's Italian,Glasgow,Glasgow,168,2.9,Italian
7701457,Mother India Cafe,Glasgow,Glasgow,126,4.8,Indian
7700065,Ichiban,Glasgow,Glasgow,133,4.6,Japanese
7700026,Dakhin,Glasgow,Glasgow,43,3.9,"Indian, South Indian"
7700850,Hillhead Bookclub,Glasgow,Glasgow,71,3.6,"British, Scottish"
7800282,Circus Circus Cafe,Durban,Durban,141,4.2,"Mediterranean, Continental"
7800523,Roma Revolving Restaurant,Durban,Durban,144,3.9,"Italian, Seafood, Steak"
7800372,Vovo Telo,Durban,Durban,162,4.1,"Cafe, Bakery, Desserts"
18362280,The Chefs' Table,Durban,Durban,106,4.7,International
7800495,The Ocean Terrace - The Oyster Box Hotel,Durban,Durban,194,4.6,"Indian, Durban, Continental"
7800663,The Galley Beach Bar & Grill,Durban,Durban,120,3.2,"Grill, Seafood"
7800284,Beluga,Durban,Durban,241,3.8,"Seafood, Asian"
7800310,Daruma - Elangeni & Maharani,Durban,Durban,100,4.3,"Japanese, Sushi"
7800531,Freedom Cafe,Durban,Durban,119,4.1,"Deli, South African"
7800959,The Waffle House,Durban,Durban,195,4.8,"Desserts, Finger Food"
7800905,Bel Punto,Durban,Durban,177,4.9,Seafood
18216520,Fourteen on Chartwell,Durban,Durban,166,4.5,Continental
7800437,Market,Durban,Durban,156,4.4,Cafe
7800380,Little Havana,Durban,Durban,130,4.2,Continental
7800541,Jack Salmon,Durban,Durban,91,4.3,Seafood
7800551,Mali's Indian Restaurant,Durban,Durban,122,4.6,Indian
7800516,Ile Maurice,Durban,Durban,113,4.3,French
7800157,tashas,Durban,Durban,174,4.3,Cafe
7800462,9th Avenue Bistro,Durban,Durban,93,4.5,French
18473006,Casa Bella,Durban,Durban,59,3.8,"Italian, Pizza"
7900198,Sichuan Style Restaurant,Hamilton,Hamilton,72,4.3,Chinese
7900069,Babaganush,Hamilton,Hamilton,76,4.0,Turkish
7900141,Daikoku Restaurant,Hamilton,Hamilton,50,3.6,"Japanese, Teppanyaki"
7900355,The Sugar Bowl Cafe,Hamilton,Hamilton,80,4.1,Cafe Food
7900646,The Chilli House,Hamilton,Hamilton,28,4.0,"Chinese, Dumplings, Hot Pot, Sichuan, Vegan, Vegetarian"
7900250,Gothenburg,Hamilton,Hamilton,100,4.6,European
7900322,The Helm,Hamilton,Hamilton,64,2.5,European
7900419,Two Birds Eatery,Hamilton,Hamilton,65,3.8,Cafe Food
7900218,Foundation Bar Kitchen & Lounge,Hamilton,Hamilton,95,4.3,Steak
18319871,Zealong Tea Estate,Hamilton,Hamilton,24,4.4,Cafe Food
7903141,Jacks Coffee Lounge,Hamilton,Hamilton,53,4.1,Cafe Food
7900287,The River Kitchen,Hamilton,Hamilton,62,4.2,"Cafe Food, Coffee and Tea"
7900349,Good George Brewing,Hamilton,Hamilton,51,4.1,"Kiwi, European, Finger Food"
7900238,Scotts Epicurean,Hamilton,Hamilton,117,4.4,Cafe Food
7900011,Sultan's Kitchen,Hamilton,Hamilton,33,4.0,"Turkish, Mediterranean, Moroccan"
7900186,Mexico,Hamilton,Hamilton,100,4.2,Mexican
7900182,Thai House Express,Hamilton,Hamilton,51,4.0,Thai
7900023,Indian Star,Hamilton,Hamilton,63,3.8,"North Indian, Indian"
7900490,Zealong Tea Estate,Hamilton,Hamilton,55,4.7,"European, Asian, Desserts"
7900115,The Flying Burrito Brothers,Hamilton,Hamilton,58,3.9,Mexican
